Customer Name,Year of Birth,Customer Gender,Customer Email,Customer City,Sales Employee,Sales Channel,Ad Media,Product ID,Order Date,Delivery Date,Invoice Date,Sales Amount,Cash Collected,Outstanding Amount,Overdue
David Francis,1991,Female,colemancassie@example.com,C01,E02,Distributors,Social Media,P04,4/24/2021,5/8/2021,4/24/2021,20424.09,3442.94,8016.9,No
Patricia Moore,2001,Male,fnash@example.org,C03,E01,Distributors,Social Media,P02,6/22/2019,6/29/2019,6/22/2019,27029.93,8593.73,12809.51,No
Frank Thompson,1998,Male,tduke@example.net,C02,E03,Online,Social Media,P01,6/9/2019,7/2/2019,6/9/2019,24702.67,835.16,15100.39,No
Andrew Gibson,1982,Male,hernandezlauren@example.org,C01,E04,Online,Social Media,P01,10/25/2022,11/15/2022,10/25/2022,20214.32,17103.49,0,Yes
Chad Hudson,1997,Male,keith58@example.org,C01,E01,Distributors,KOL,P02,10/12/2019,10/26/2019,10/12/2019,26134.68,19539.09,0,No
Dawn Clark,2002,Male,cheryl12@example.com,C02,E04,Online,TV,P01,7/8/2018,7/12/2018,7/8/2018,24375.4,17204.53,0,Yes
Lance Sweeney,2001,Male,william36@example.com,C02,E03,Distributors,Social Media,P03,3/6/2019,4/2/2019,3/6/2019,32601.59,1130.85,15389.59,Yes
Andrew Townsend,2000,Female,claudia93@example.org,C01,E06,Distributors,TV,P01,5/23/2022,6/4/2022,5/23/2022,25834.29,604.4,7303.31,No
Ryan Lopez,1996,Male,edwardburns@example.net,C03,E03,Distributors,KOL,P03,12/1/2019,12/4/2019,12/1/2019,32963.26,2494.62,11280.14,No
Katie Jones,1988,Female,rwright@example.net,C02,E04,Distributors,TV,P01,8/11/2018,8/25/2018,8/11/2018,24503.82,9368.96,0,No
Charles Reynolds,1999,Male,vjackson@example.net,C02,E05,Online,Email,P01,4/19/2022,5/4/2022,4/19/2022,21790.26,18468.52,0,No
Chelsea Allison,1986,Male,joshuajohnson@example.com,C02,E07,Online,Email,P02,1/26/2021,2/6/2021,1/26/2021,25588.17,2184.26,9673.74,No
Diane Curry,1999,Male,valdezpatrick@example.net,C02,E02,Online,KOL,P01,8/15/2023,8/31/2023,8/15/2023,21884.92,5766.54,16797.22,No
James Butler,1988,Male,matthewmiller@example.com,C01,E04,Online,Social Media,P05,10/6/2021,10/19/2021,10/6/2021,19158.97,916.36,12000.54,Yes
Rebecca Morales,1985,Male,,C01,E05,Distributors,KOL,P01,6/11/2022,6/30/2022,6/11/2022,23769.97,577.66,12448.97,No
Tammy Evans,1998,Female,april63@example.org,C01,E01,Distributors,TV,P04,3/4/2019,3/6/2019,3/4/2019,20633.67,2833.01,2425.43,No
Teresa Young,2001,Male,jorge91@example.net,C01,E06,In-store,KOL,P03,2/2/2023,2/17/2023,2/2/2023,34834.75,8211.3,41258.19,No
Thomas Franco,1995,Male,athompson@example.com,C03,E02,Online,TV,P05,11/16/2022,12/11/2022,11/16/2022,18573.78,2758.53,2949.16,Yes
Zachary Mcguire,1979,Female,vortiz@example.net,C02,E05,Online,Email,P05,6/9/2022,6/26/2022,6/9/2022,21741.12,2212.22,7640.2,No
Rebecca Williams,1997,Female,cmurray@example.com,C02,E03,In-store,TV,P04,7/27/2018,8/18/2018,7/27/2018,20966.42,9591.87,0,No
Julie Harris,2001,Male,shermantammy@example.org,C01,E05,In-store,Social Media,P03,9/4/2022,9/13/2022,9/4/2022,31224.47,3758.27,16437.75,No
Rachel Kaiser,2005,Female,john89@example.net,C01,E05,Online,KOL,P05,1/11/2023,1/27/2023,1/11/2023,17411.08,18931.73,0,No
Denise Thompson,1974,Male,schneiderbrandon@example.net,C01,E01,Online,TV,P01,8/4/2023,8/21/2023,8/4/2023,19126.33,1480.72,9861.75,Yes
Daniel Hernandez,1973,Male,theath@example.com,C01,E04,In-store,Social Media,P02,12/27/2019,1/2/2020,12/27/2019,26655.56,15312.65,0,Yes
Virginia Owens DDS,1995,Female,gutierrezheather@example.org,C01,E06,In-store,KOL,P04,12/17/2018,12/22/2018,12/17/2018,21986.8,531.91,19795.04,No
Elizabeth Perkins,1997,Female,sara02@example.com,C02,E02,In-store,KOL,P02,1/28/2020,1/30/2020,1/28/2020,28831.55,44031.93,0,No
Marvin Harmon,2001,Male,jermainereed@example.net,C01,E05,Distributors,Email,P05,3/2/2019,3/6/2019,3/2/2019,18080.98,6035.64,0,No
David Figueroa,2002,Male,joseph89@example.com,C01,E04,Online,Email,P03,,9/28/2018,,29443.41,24507.99,0,Yes
Juan Barker,1989,Female,barnesmichelle@example.net,C01,E08,Distributors,TV,P01,4/11/2020,4/19/2020,4/11/2020,20052.25,2816.12,3522.97,Yes
Darren Anderson,1984,Male,mhaney@example.net,C01,E02,Distributors,TV,P04,8/14/2020,8/21/2020,8/14/2020,17543.9,3352.31,3101.01,Yes
Cheryl Davis,1970,Male,gary58@example.net,C02,E01,Online,KOL,P04,11/13/2023,11/14/2023,11/13/2023,18594.26,13935.12,0,No
Jessica King,1980,Male,ashleydowns@example.org,C02,E02,Online,TV,P02,8/18/2022,8/28/2022,8/18/2022,27330.1,3418.99,19902.58,Yes
Ruth Harris,1984,Male,xcollins@example.net,C02,E02,Distributors,Email,P05,4/14/2023,4/24/2023,4/14/2023,17982.61,5565.49,2455.6,No
Daniel Arellano,2004,Male,silvachristine@example.org,C03,E05,In-store,KOL,P02,1/11/2022,1/20/2022,1/11/2022,27742.29,1660.25,19244.87,No
Shelly Steele MD,1987,Male,franklinmary@example.org,C03,E05,Distributors,Social Media,P04,1/17/2019,2/3/2019,1/17/2019,19026.03,5603,0,No
Juan Gonzalez,2001,Male,jennifer41@example.org,C01,E04,In-store,Social Media,P02,10/25/2018,11/12/2018,10/25/2018,25572.04,293.27,14553.93,No
Arthur Brock,2004,Female,christian37@example.org,C02,E02,Distributors,Email,P01,7/15/2018,7/16/2018,7/15/2018,24234.01,8845.12,0,No
Jaclyn James,1992,Male,danielle32@example.org,C01,E06,Online,,P04,3/8/2022,3/16/2022,3/8/2022,18572.17,54.59,12583.42,No
Carlos Lin,2001,Female,hrodriguez@example.com,C01,E08,Online,KOL,P01,3/11/2022,3/22/2022,3/11/2022,21994.84,34571.03,0,Yes
Joel Houston,1993,Female,joshuabaldwin@example.com,C02,E03,Distributors,KOL,P01,11/25/2021,12/1/2021,11/25/2021,23704.15,2777.98,12280.26,Yes
John Phillips,1968,Male,christinacooper@example.com,C01,E04,Online,KOL,P02,6/19/2022,6/28/2022,6/19/2022,29404.29,27624.09,0,Yes
Veronica Jenkins,2000,Female,pscott@example.net,C01,E03,Distributors,TV,P03,11/23/2020,11/30/2020,11/23/2020,34399.1,1067.22,17161.52,No
Justin Alexander,2004,Male,brittanynichols@example.com,C02,E02,Online,KOL,P02,3/6/2023,3/16/2023,3/6/2023,25237.75,2332.62,15849.01,Yes
Jenna Murphy,2000,Male,npage@example.com,C03,E02,Distributors,Social Media,P02,1/25/2023,1/28/2023,1/25/2023,27233.74,964.45,14279.08,No
Kim Wright,2004,Male,allisoncolon@example.com,C02,E02,In-store,Social Media,P02,7/15/2018,7/26/2018,7/15/2018,25538.03,2746.78,10363.4,No
Chad Decker,2005,Male,victoriamurphy@example.org,C03,E01,Online,TV,P02,3/22/2021,3/31/2021,3/22/2021,28577.11,18537.27,0,No
Lauren Dorsey,1977,Male,michael51@example.org,C01,E07,Distributors,Email,P01,2/3/2018,2/14/2018,2/3/2018,20407.17,6609.56,3741.14,No
Thomas West,1992,Female,ashley40@example.net,C02,E06,Distributors,Social Media,P02,9/8/2020,10/2/2020,9/8/2020,31346.9,2701.21,9447.73,No
Michael Hill,2002,Male,christopher19@example.com,C01,E03,Online,TV,P02,5/6/2022,5/16/2022,5/6/2022,27700.47,2256.12,15843.75,No
Michelle Figueroa,1997,Male,wilsonsarah@example.net,C03,E02,In-store,KOL,P01,10/17/2020,11/15/2020,10/17/2020,24854.42,17207.07,0,No
Preston Martin,2001,Male,aaron81@example.org,C02,E07,Online,Social Media,P02,11/23/2020,12/3/2020,11/23/2020,26359.37,3302.19,11494.19,No
Stephanie Nixon,2003,Female,clarkcathy@example.net,C01,E02,In-store,KOL,P03,1/29/2023,2/4/2023,1/29/2023,33162.09,32612.03,0,Yes
Christine Freeman,2001,Female,pcobb@example.org,C03,E04,Online,TV,P04,10/12/2020,10/13/2020,10/12/2020,23400.15,3704.56,9651.2,No
Hannah Perez,1971,Male,ebrown@example.net,C02,E01,Online,TV,P04,6/16/2022,7/15/2022,6/16/2022,19971.57,10931.97,0,No
Joseph Jones,1972,Male,terri44@example.com,C01,E01,Online,KOL,P01,5/29/2021,6/25/2021,5/29/2021,21169.03,4206.66,15427.86,Yes
Susan Delgado,2004,Male,asexton@example.net,C01,E04,Online,Email,P01,3/25/2019,4/2/2019,3/25/2019,21783.61,3625.35,8359.77,Yes
Terry Wise,2002,Male,thomaswilliam@example.net,C02,E04,Online,KOL,P01,3/23/2019,4/2/2019,3/23/2019,22413.95,2845.4,11343.75,No
Alicia Hull,1995,Female,cnelson@example.net,C01,E04,Distributors,Social Media,P02,7/4/2023,7/15/2023,7/4/2023,28366.69,1267.6,11514.93,No
David Rodriguez,1969,Male,ashley31@example.com,C01,E06,Online,Social Media,P04,1/4/2019,1/20/2019,1/4/2019,19589.8,16924.9,0,No
Mary Levy,1986,Male,doylejonathan@example.net,C01,E08,In-store,TV,P01,3/28/2023,4/11/2023,3/28/2023,22843.23,2477.62,6211.7,Yes
Jessica Watts,1997,Male,walkercory@example.org,C01,E05,Distributors,TV,P01,8/16/2019,8/23/2019,8/16/2019,20772.48,1232.7,4216.46,Yes
Alexis Thomas,2004,Male,smartin@example.org,C02,E03,Online,KOL,P02,3/10/2020,3/19/2020,3/10/2020,27135.71,4918.66,29137.39,No
Michael Foley,1992,Male,rasmussenwilliam@example.org,C01,E06,Online,Social Media,P03,,7/4/2019,,31935.2,2741.04,23327.43,No
John Thomas,1991,Male,staciesmith@example.org,C02,E01,Distributors,Email,P02,12/15/2021,1/1/2022,12/15/2021,24057.61,4048.41,4590.59,No
Emily Keller,1993,Female,gonzalezjonathan@example.net,C03,E05,In-store,KOL,P01,4/11/2018,5/11/2018,4/11/2018,26294.56,20468.5,0,No
Laura Rhodes,1991,Male,orice@example.com,C01,E03,In-store,TV,P04,9/1/2023,9/6/2023,9/1/2023,17598.88,198.5,2676.68,No
Olivia Carey,1999,Male,dyerheidi@example.net,C02,E01,Online,Email,P05,2/4/2022,2/16/2022,2/4/2022,16171.74,1804.25,7342.57,No
Molly Maynard,2003,Female,mcintoshbrian@example.net,C01,E08,Distributors,KOL,,12/10/2018,12/30/2018,12/10/2018,22054.76,13927.34,0,Yes
Diane Miller,1985,Male,alexis38@example.org,C02,E02,Online,Social Media,P01,11/13/2023,11/21/2023,11/13/2023,21624.98,10020.23,0,Yes
Dustin Delgado,1991,Male,justin77@example.org,C01,E04,Online,Social Media,P04,5/27/2023,6/13/2023,5/27/2023,20273.16,2818.98,13735.68,Yes
Savannah Henson,1965,Male,kimberly81@example.net,C02,E06,Distributors,Social Media,P03,2/20/2018,2/21/2018,2/20/2018,33584.58,4430.58,12485.64,No
Jorge Dean,1988,Male,barbaraweaver@example.net,C01,E03,Online,KOL,P04,11/9/2019,11/22/2019,11/9/2019,16652.56,6890.84,17847.51,No
Katherine Duncan,1979,Male,hardinroger@example.com,C01,E01,Online,Email,P05,2/10/2022,2/16/2022,2/10/2022,16021.87,1668.06,5778.47,No
Grant Richards,2005,Female,mandy19@example.org,C02,E06,Online,KOL,P01,10/23/2020,11/13/2020,10/23/2020,25651.49,19842.68,0,No
Susan Haley,1995,Male,williamdavis@example.com,C01,E02,Online,KOL,P02,6/24/2018,7/11/2018,6/24/2018,28243.52,3490.29,29833.93,No
Sandra Griffin,1977,Male,erin66@example.org,C03,E08,Online,TV,P04,12/16/2022,1/1/2023,12/16/2022,14745.73,1722.1,2304.19,Yes
Victor Gonzalez,2004,Female,vincenthubbard@example.net,C02,E07,Distributors,KOL,P02,10/25/2021,11/2/2021,10/25/2021,28478.16,4799.62,15410.81,No
John Hawkins,1973,Female,wendy72@example.org,C02,E06,Online,KOL,P03,9/12/2022,10/9/2022,9/12/2022,36533.33,1889.94,45216.05,No
Samantha Cohen DVM,1997,Female,butlerlauren@example.com,C03,E02,Online,Email,P03,2/14/2021,3/13/2021,2/14/2021,37694.91,2984.31,35841.46,No
Gregory Nguyen,1982,Male,kayla21@example.net,C01,E05,Distributors,TV,P01,3/30/2020,4/25/2020,3/30/2020,24040.62,917,7220.83,No
Megan Adkins,2004,Female,garyvargas@example.net,C02,E08,Distributors,KOL,P05,5/11/2019,5/12/2019,5/11/2019,19016.21,8196.18,0,Yes
Eric Nelson,1987,Male,kimberlyatkins@example.net,C02,E03,In-store,Social Media,P01,12/23/2019,12/29/2019,12/23/2019,22089.62,1365.98,4802.72,Yes
Michael Adkins,1971,Male,michelehernandez@example.com,C03,E03,Online,KOL,P01,9/17/2018,10/16/2018,9/17/2018,21880.67,2730.29,28704.46,Yes
Jennifer Donovan,2005,Female,jasmine95@example.org,C01,E01,In-store,Social Media,P03,7/18/2018,8/10/2018,7/18/2018,31128,3330.32,10700.43,No
Stephen Jones,1968,Female,scott73@example.net,C01,E05,In-store,Email,P03,12/27/2019,1/13/2020,12/27/2019,35062.75,1864.21,10871.84,Yes
Jesse Smith,1993,Female,jocelyn46@example.net,C01,E06,Online,KOL,P01,12/24/2019,1/20/2020,12/24/2019,26074.28,18539.14,0,No
Morgan Williams,2001,Female,wrivera@example.org,C01,E02,Distributors,Social Media,P05,5/5/2021,5/13/2021,5/5/2021,20129.72,3524.16,8327.25,No
Donald Johnson,2001,Female,sherrera@example.com,C03,E02,Distributors,TV,P02,2/16/2019,2/23/2019,2/16/2019,30016.92,671.12,8961.17,No
Matthew Mullen,1991,Male,berryamy@example.net,C02,E03,In-store,Social Media,P01,6/11/2022,7/7/2022,6/11/2022,22144.64,1874.47,6444.72,No
Brandy Parks,1994,Female,tammymitchell@example.net,C02,E01,Online,Social Media,P01,4/5/2021,4/14/2021,4/5/2021,23519.19,19346.22,0,No
Brandon Hodges,1983,Female,rodriguezsara@example.org,C01,E01,Distributors,KOL,P02,12/27/2023,1/15/2024,12/27/2023,27276.73,701.53,21573.91,No
Mark Marshall,2004,Female,wkhan@example.com,C02,E03,Distributors,KOL,P01,2/22/2023,2/26/2023,2/22/2023,23947.31,31.88,12367.56,No
William Olson,1996,Female,zachary57@example.com,C01,E02,Online,TV,P01,2/22/2020,3/10/2020,2/22/2020,24524.55,2355.48,12862.05,No
Carolyn Johnson,1966,Female,xmatthews@example.org,C02,E03,Distributors,Email,P03,4/17/2020,4/18/2020,4/17/2020,36244.45,1705.23,16566.78,No
Lawrence Chaney,1983,Male,ashepherd@example.net,C03,E03,Distributors,Social Media,P01,6/23/2023,7/18/2023,6/23/2023,23351.47,1252.38,8058.5,No
Donna Nelson,1973,Female,garciaangela@example.com,C03,E08,Online,TV,P03,11/3/2018,12/3/2018,11/3/2018,35001.94,1228.39,27051.82,Yes
Laura Lewis,1985,Female,kcollins@example.org,C01,E07,In-store,KOL,P01,1/13/2023,1/20/2023,1/13/2023,24125.96,1009.23,22297.34,Yes
Jack Hernandez,1977,Female,debrahurley@example.net,C03,E01,Online,KOL,P02,2/2/2023,2/13/2023,2/2/2023,31487.95,686.06,20137.64,No
Hunter Carpenter,1978,Female,robert48@example.net,C01,E07,Online,Email,P01,2/21/2022,2/27/2022,2/21/2022,25304.09,28581.7,0,No
Theresa Ray,2003,Male,laurabeasley@example.com,C03,E01,Distributors,TV,P05,3/27/2021,3/28/2021,3/27/2021,17376.26,5452.98,0,No
Steven Harrison,2002,Female,njones@example.com,C03,E03,Distributors,KOL,P01,5/11/2022,5/23/2022,5/11/2022,28561.03,14890.62,0,No
Robert Williams,1998,Male,qlawson@example.net,C02,E01,In-store,Email,P02,5/29/2019,6/18/2019,5/29/2019,27557.88,6331.66,9252.07,No
Christopher Hogan,1984,Male,michelle34@example.net,C02,E02,Online,KOL,P01,1/19/2022,1/28/2022,1/19/2022,21983.47,24990.88,0,Yes
Tyrone Jones,1983,Female,shannonbrown@example.com,C03,E05,Online,KOL,P02,1/10/2021,1/26/2021,1/10/2021,31517.52,3023.07,34966.93,No
Brian Edwards,2005,Male,lindseyfields@example.com,C01,E03,Distributors,Social Media,P05,10/23/2023,11/22/2023,10/23/2023,16893.21,4272.16,3311.18,No
Noah Walker,1998,Female,larrylambert@example.net,C03,E06,Online,Social Media,P02,12/26/2023,1/4/2024,12/26/2023,30488.61,24409.45,0,No
Rachel Bell,1972,Male,adrianflores@example.com,C02,E05,Online,Social Media,P03,2/2/2020,2/3/2020,2/2/2020,30950.67,2955.45,21763.91,No
Aaron Whitehead,2002,Male,richard14@example.org,C01,E07,Online,KOL,P02,3/24/2022,4/12/2022,3/24/2022,26401.76,19856.84,0,No
Paul Martin,1974,Male,kelly17@example.com,C01,E03,Online,KOL,P01,1/27/2023,2/9/2023,1/27/2023,21126.19,239.27,18325.72,Yes
Angela Ferguson,1973,Female,xgordon@example.net,C01,E06,Distributors,Social Media,P01,9/30/2022,10/29/2022,9/30/2022,26432.99,2327.88,8723.86,No
Zachary Burns,1984,Female,kimberly05@example.com,C03,E02,In-store,Social Media,P05,12/24/2023,12/31/2023,12/24/2023,19921.3,9228.37,0,Yes
Amy Warren,1996,Female,catherinegomez@example.org,C02,E02,Online,Email,P02,10/4/2023,10/18/2023,10/4/2023,27511.6,23440.77,0,No
Desiree Cameron,2000,Male,hunterzachary@example.net,C02,E03,Online,KOL,P04,5/10/2018,5/23/2018,5/10/2018,17693.04,5970.77,25613.11,No
Brittany Thompson,1967,Female,fkelly@example.net,C02,E03,In-store,Social Media,P03,9/5/2021,9/12/2021,9/5/2021,36203.86,830.53,19359.74,Yes
Eric Perez,1993,Male,uchang@example.net,C01,E01,In-store,KOL,P03,2/3/2020,2/20/2020,2/3/2020,29701.17,1434.71,13311.12,No
Stephen Valdez,2002,Male,scottteresa@example.net,C01,E03,Online,Email,P02,2/27/2023,3/19/2023,2/27/2023,23609.16,362.7,19473.56,No
Mary Gomez,1998,Female,chavezheather@example.net,C03,E01,In-store,KOL,P02,8/19/2020,9/3/2020,8/19/2020,30069.13,20750.23,0,No
Gregory Sanders,1982,Male,craigsandoval@example.net,C01,E07,Online,KOL,P02,11/15/2018,12/10/2018,11/15/2018,24253.24,2373.17,18952.97,Yes
Darlene Wilson,1999,Male,nsosa@example.com,C02,E01,Online,TV,P04,3/18/2019,3/26/2019,3/18/2019,20693.17,3640.35,5151.74,No
George Jones,1972,Male,alexander12@example.org,C01,E03,Online,KOL,P05,4/1/2019,4/10/2019,4/1/2019,16620.59,1791.51,7811.1,No
Jon Cohen,2004,Male,nicholewelch@example.org,C01,E02,Online,KOL,P02,10/28/2022,11/8/2022,10/28/2022,25971.58,3967.78,33162.09,No
Michael Holt,1983,Female,jason76@example.com,C03,E01,Distributors,KOL,P02,11/18/2018,12/14/2018,11/18/2018,29289.77,20597.11,0,No
Jordan Howe,1982,Male,jasonandersen@example.org,C03,E06,Distributors,KOL,P03,7/5/2020,7/18/2020,7/5/2020,34986.26,1630.07,22645.49,No
Jacob Norris,2000,Male,eugenehawkins@example.org,C03,E05,In-store,Social Media,P05,9/5/2021,9/11/2021,9/5/2021,19786.13,5007.68,5463.11,No
Rachael Moore,1972,Female,hmack@example.org,C03,E01,Online,KOL,P03,1/3/2023,2/1/2023,1/3/2023,37061.23,3987.81,38636.21,No
Edward Casey,1984,Male,henrycurtis@example.net,C02,E04,Distributors,KOL,P04,9/25/2023,10/8/2023,9/25/2023,19028.75,8228.2,0,Yes
Austin Hernandez,1987,Female,timothy32@example.org,C01,E06,Distributors,Social Media,P02,7/5/2021,7/11/2021,7/5/2021,28482.77,420.45,16146.11,No
Whitney Alvarado,1976,Male,patriciaandersen@example.net,C01,E05,Distributors,TV,P01,10/10/2023,10/29/2023,10/10/2023,21492.39,4324.86,2233.24,No
Rachel Nguyen,1998,Female,christopher00@example.com,C01,E01,In-store,KOL,P03,12/1/2019,12/21/2019,12/1/2019,31046.79,774.64,24071.05,Yes
Tonya Gordon,1970,Male,jamieroberts@example.com,C01,E05,Online,Email,P01,8/30/2021,9/21/2021,8/30/2021,20803.74,2317.64,4517.65,Yes
Amy Kaufman,1992,Female,nwhitaker@example.org,C01,E05,Distributors,TV,P04,11/15/2020,12/3/2020,11/15/2020,19840.74,2806.7,4186.09,No
Charles Herrera,2002,Male,jensenlee@example.org,C01,E06,In-store,Social Media,P01,5/23/2019,5/27/2019,5/23/2019,24989.22,2327.7,3749.94,No
Steven Wilkins,1980,Male,seth78@example.com,C02,E03,Distributors,Social Media,P02,4/11/2023,5/2/2023,4/11/2023,26439.74,11139.96,0,No
Matthew Saunders,1995,Male,smithteresa@example.com,C01,E03,In-store,KOL,P02,8/25/2021,9/14/2021,8/25/2021,24335.49,23821.56,0,Yes
Kyle Patterson,1998,Male,renee95@example.com,C02,E08,Distributors,Social Media,P04,8/31/2020,9/14/2020,8/31/2020,15401.89,3392.38,3113.55,Yes
Debra Todd,1998,Male,hammondmichelle@example.org,C01,E06,Online,KOL,P05,6/2/2020,6/16/2020,6/2/2020,19451.52,10591.46,0,No
Joe Gregory,1991,Female,millertina@example.net,C01,E04,Online,KOL,P05,7/25/2019,8/5/2019,7/25/2019,18918.1,1669.68,14019.37,Yes
Jeffrey Castillo,1984,Male,sullivancaleb@example.org,C01,E02,Online,KOL,P01,7/31/2021,8/6/2021,7/31/2021,20722.53,19776.69,0,Yes
Nathaniel Brown,1970,Male,qtaylor@example.net,C02,E06,Online,Email,P05,2/4/2018,3/4/2018,2/4/2018,16823.48,3392.93,4494.28,No
Sandra Sanders,1996,Female,avilagloria@example.com,C01,E03,Online,KOL,P03,10/16/2018,11/7/2018,10/16/2018,31236.5,887.87,39710.01,No
Catherine Johnson,1985,Male,jasonharris@example.net,C01,E01,In-store,Social Media,P01,6/8/2020,6/24/2020,6/8/2020,20059.33,4214.85,9181.14,No
Bill Baker,2003,Female,pstevens@example.net,C02,E03,Online,Email,P02,1/13/2018,1/25/2018,1/13/2018,30133.39,3284.95,10041.54,No
Dawn Ross,1978,Male,albertedwards@example.com,C03,E06,Distributors,KOL,P04,7/27/2021,8/5/2021,7/27/2021,19800.89,2374.08,5945.39,No
Jesse Mason,1995,Female,teresabishop@example.com,C02,E03,In-store,Social Media,P05,8/1/2018,8/9/2018,8/1/2018,18538.17,8093.4,0,Yes
Judith Nelson,1981,Female,jenniferjohnson@example.org,C01,E01,Online,Social Media,P01,4/12/2020,5/2/2020,4/12/2020,22042.1,1326.85,13820.29,Yes
Joel Smith,2004,Male,kelly82@example.net,C01,E04,Distributors,KOL,P01,2/25/2022,3/11/2022,2/25/2022,19632.48,3623.69,5339.16,No
Adrienne Watson,2004,Male,ronald97@example.net,C01,E08,Online,KOL,P01,6/30/2019,7/4/2019,6/30/2019,17071.91,754.61,21461.87,Yes
Chase Gray,1984,Male,deborahbryant@example.net,C01,E06,Online,KOL,P02,5/16/2021,6/5/2021,5/16/2021,29157.19,1798.75,27429.21,No
Gabrielle Lewis,2000,Male,avilavernon@example.net,C01,E04,Distributors,Social Media,P02,5/23/2020,6/11/2020,5/23/2020,27493.18,9690.83,0,No
Gabrielle Gross,1965,Male,kimberly01@example.net,C02,E07,Online,KOL,P03,5/26/2022,6/17/2022,5/26/2022,34270.85,1912.79,29010.95,No
Lisa Bass,1992,Male,nancy53@example.com,C02,E06,Online,TV,P01,4/23/2020,5/4/2020,4/23/2020,23518.82,1719.29,4674.15,No
Joanna Garcia,2000,Female,mariobarker@example.com,C02,E03,Online,Social Media,P04,5/10/2022,5/15/2022,5/10/2022,21730.93,173.07,10349.51,No
,1991,Male,fischerrebecca@example.com,C01,E04,Distributors,KOL,P03,11/28/2018,12/24/2018,11/28/2018,31554.64,3902.93,29509.49,Yes
Melanie Morton,1990,Male,xsilva@example.net,C01,E05,Distributors,TV,P01,8/29/2021,9/19/2021,8/29/2021,19709.53,4097.6,1673.59,Yes
Alexander Park,1994,Male,kimberly37@example.com,C01,E06,Online,KOL,P04,1/27/2023,1/29/2023,1/27/2023,20346.41,690.75,17647.62,No
Ryan Turner,1979,Male,imason@example.net,C02,E01,Online,TV,P04,3/9/2019,3/29/2019,3/9/2019,15706.76,2807.63,6352.55,No
Tara Newman,1990,Male,patriciacalhoun@example.net,C01,E05,Distributors,KOL,P04,4/29/2018,5/19/2018,4/29/2018,16882.39,1092.14,8916.07,No
Austin Higgins,1989,Female,jenniferfry@example.com,C02,E03,Online,Social Media,P02,11/3/2018,11/12/2018,11/3/2018,28856.8,3265.6,17785.19,No
John Hanson,1992,Male,paulmartin@example.net,C02,E04,In-store,KOL,P03,12/20/2022,12/26/2022,12/20/2022,32986.01,3161.5,13380.96,Yes
Tammy Serrano,2001,Male,thartman@example.com,C02,E05,Online,Social Media,P01,6/18/2023,7/1/2023,6/18/2023,22140.07,15777.51,0,No
Donna Brown,1973,Male,sandramartin@example.org,C01,E03,In-store,KOL,P04,11/25/2021,12/5/2021,11/25/2021,18856.18,17969.54,0,No
Kayla Callahan,1985,Male,victoriasmith@example.org,C01,E01,Distributors,KOL,P03,11/9/2021,11/11/2021,11/9/2021,30144.04,13628.78,0,No
Mark Smith,1994,Male,uhughes@example.net,C02,E03,Online,Email,P04,12/13/2020,1/6/2021,12/13/2020,17989.13,7535.09,0,No
Gary Bell,1990,Male,williamskaren@example.net,C01,E01,Distributors,TV,P05,10/17/2020,10/29/2020,10/17/2020,17399.33,3102.4,1436.06,No
Brian Avery,1979,Male,valdezbrenda@example.com,C01,E05,In-store,KOL,P04,11/15/2020,11/21/2020,11/15/2020,17190.57,738.39,10968.43,No
Melissa Williams,2003,Male,cstuart@example.org,C01,E08,Online,Email,P04,10/28/2022,11/7/2022,10/28/2022,16252.26,4328.02,7036.9,No
Lindsay Rivera,1971,Male,crawforderic@example.com,,E06,Online,Social Media,P02,12/21/2020,1/10/2021,12/21/2020,26703.41,5925.86,23937.02,No
Kelly Ellis,1999,Male,jacob57@example.org,C01,E02,Distributors,Social Media,P04,3/21/2018,3/25/2018,3/21/2018,16916.66,2758.28,3588.32,No
Jesus Wilson II,2003,Male,cynthia89@example.org,C02,E04,Distributors,KOL,P05,9/20/2023,9/25/2023,9/20/2023,17207.48,9402.57,0,Yes
Briana Ho,1992,Male,charlessmith@example.com,C01,E02,Distributors,KOL,P01,7/20/2023,7/28/2023,7/20/2023,19131.77,15964.06,0,Yes
Shelley Fernandez,1999,Male,vrivera@example.org,C02,E04,Online,KOL,P04,4/30/2019,5/5/2019,4/30/2019,18464.87,2136.16,15684.32,No
Mr. Albert Wang,2004,Female,jennifer21@example.com,C01,E02,Online,TV,P01,5/22/2022,6/1/2022,5/22/2022,25537.38,6544.33,0,No
Thomas Alexander,1976,Male,vanessahernandez@example.org,C02,E05,Distributors,KOL,P01,3/29/2023,4/11/2023,3/29/2023,21856.37,1343.24,20460.52,No
Kathleen Walters,2005,Male,ywood@example.org,C03,E02,In-store,Email,P02,1/4/2022,1/14/2022,1/4/2022,29025.97,2358.17,12935.65,No
Michael Novak,2002,Female,russell53@example.org,C02,E08,Distributors,Social Media,P02,4/13/2021,4/28/2021,4/13/2021,28577.49,3568.23,10486.03,Yes
Robert Paul,2000,Male,imichael@example.org,C01,E04,Distributors,Social Media,P03,7/22/2022,8/5/2022,7/22/2022,31557.58,5045.55,10186.14,Yes
Brian Haas,1970,Female,zgreen@example.net,C01,E01,Online,KOL,P01,12/18/2020,12/19/2020,12/18/2020,23027.22,3446.41,30240.25,Yes
